IDCode	Time	Type	Location	Replicate	acetyleneb	T0_ppmv	T1_ppmv	T2_ppmv	T3_ppmv
ECU_TC_034	storm	W	B	1	+	-0.0140	0.1631	0.5360	0.2505
ECU_TC_035	storm	W	B	2	+	-0.0418	0.0835	0.3316	0.1573
ECU_TC_036	storm	W	B	3	+	0.0957	0.1598	0.4266	0.2687
ECU_TC_037	storm	W	C	1	+	0.0140	0.0308	0.1575	0.1305
ECU_TC_038	storm	W	C	2	+	-0.0982	0.0684	0.2913	0.1859
ECU_TC_039	storm	W	C	3	+	-0.0100	0.1025	0.2872	0.1966
ECU_TC_040	storm	W	D	1	+	-0.0881	0.1559	0.2568	0.1905
ECU_TC_041	storm	W	D	2	+	-0.0141	0.4682	0.4170	0.4963
ECU_TC_042	storm	W	D	3	+	-0.0233	0.2291	0.2563	0.3320
ECU_TC_043	storm	W	E	1	+	-0.0543	0.4283	0.3959	0.3052
ECU_TC_044	storm	W	E	2	+	-0.0613		0.2021	0.2612
ECU_TC_045	storm	W	E	3	+	0.0626	0.1534	0.2936	0.2609
ECU_TC_046	storm	W	F	1	+	-0.0695	0.0371	0.2351	0.2156
ECU_TC_047	storm	W	F	2	+	-0.0695	0.3123	0.2299	0.0602
ECU_TC_048	storm	W	F	3	+	0.0159	0.1332	0.1972	0.3470
ECU_TC_031	storm	W	A	1	-	0.1641	0.3096	0.4356	0.1997
ECU_TC_032	storm	W	A	2	-	-0.0056	4.0726	0.1594	0.2600
ECU_TC_033	storm	W	A	3	-	0.0675	0.2863	0.1225	0.2554
ECU_TC_034	storm	W	B	1	-	-0.1551	0.3389	0.1711	0.3083
ECU_TC_035	storm	W	B	2	-	-0.1575	0.4312	0.1381	0.3234
ECU_TC_036	storm	W	B	3	-	-0.0855	0.4767	0.2188	0.3867
ECU_TC_037	storm	W	C	1	-	-0.1079	0.1500	0.1776	0.2425
ECU_TC_038	storm	W	C	2	-	0.1365	0.2058	0.0970	0.2339
ECU_TC_039	storm	W	C	3	-	-0.0831	0.2573	0.1788	0.2495
ECU_TC_040	storm	W	D	1	-	0.0552	0.2353	0.1230	0.1985
ECU_TC_041	storm	W	D	2	-	-0.1281	0.2597	0.1309	0.2634
ECU_TC_042	storm	W	D	3	-	-0.1068	0.4273	0.2142	0.2667
ECU_TC_043	storm	W	E	1	-	0.0968		0.2163	0.2367
ECU_TC_044	storm	W	E	2	-	-0.0976		0.1326	0.2638
ECU_TC_045	storm	W	E	3	-	-0.1138	0.7181	0.1319	0.2710
ECU_TC_046	storm	W	F	1	-	-0.1113	0.3864	0.2242	0.2528
ECU_TC_047	storm	W	F	2	-	-0.1701	0.1795	0.0921	0.2306
ECU_TC_048	storm	W	F	3	-	-0.1751	0.1363	0.1169	0.1988
